season_code,team,avg_gk,avg_def,avg_mid,avg_att,avg_overall,squad_depth
2122,Everton,74.3,75.2,72.0,74.6,73.9,79.8
2122,Leeds,66.7,69.0,71.1,71.9,70.5,77.3
2122,Leicester,70.8,74.6,76.9,74.8,75.0,81.1
2122,Liverpool,72.4,73.2,78.0,81.3,76.0,85.1
2122,Man City,77.7,80.8,74.3,76.1,76.9,85.9
2122,Man United,76.2,79.2,76.8,79.0,78.0,84.6
2122,Newcastle,71.8,71.9,69.4,74.4,71.4,76.3
2122,Norwich,65.6,72.3,69.3,70.3,69.8,75.0
2122,Southampton,70.7,67.3,70.4,72.5,69.6,76.3
2122,Tottenham,84.5,71.7,72.4,80.6,74.1,82.3
2122,Watford,72.3,73.1,69.9,70.6,71.2,75.5
2122,West Ham,76.0,72.3,71.3,70.8,72.2,79.7
2122,Wolves,74.5,69.1,66.3,72.7,69.6,78.8
2223,Arsenal,74.3,76.3,74.8,72.5,74.9,80.5
2223,Aston Villa,68.4,74.2,73.5,78.2,73.8,79.9
2223,Bournemouth,70.7,70.9,73.0,72.8,71.9,74.9
2223,Brentford,71.3,71.9,71.2,69.3,70.9,75.6
2223,Brighton,65.7,70.3,69.2,71.2,69.6,76.5
2223,Chelsea,78.7,75.9,75.7,80.4,77.3,84.6
2223,Crystal Palace,70.0,72.3,70.6,73.5,71.7,76.5
2223,Everton,70.5,73.0,74.0,76.8,73.5,78.3
2223,Fulham,71.0,74.5,71.9,73.6,73.0,76.7
2223,Leeds,72.3,73.1,73.0,71.6,72.6,76.5
2223,Leicester,73.0,75.0,72.0,76.0,74.0,79.6
2223,Liverpool,78.0,78.4,78.3,79.9,78.7,85.3
2223,Man City,78.0,78.7,80.6,76.8,78.5,86.3
2223,Man United,80.0,76.5,75.8,79.3,77.2,83.1
2223,Newcastle,73.8,72.6,75.5,71.3,73.5,78.6
2223,Nott'm Forest,73.3,73.2,72.1,72.0,72.6,76.9
2223,Southampton,71.7,71.3,71.6,69.3,71.0,76.0
2223,Tottenham,75.7,77.8,73.7,80.0,76.6,82.2
2223,West Ham,78.7,74.6,72.4,75.8,74.6,80.3
2223,Wolves,67.7,67.9,71.5,72.0,70.2,79.3
2324,Arsenal,76.0,73.6,76.7,78.1,76.0,83.2
2324,Aston Villa,72.3,75.4,74.4,70.6,73.7,80.7
2324,Bournemouth,74.0,71.9,71.5,73.7,72.3,75.6
2324,Brentford,72.0,73.7,70.8,70.6,71.8,76.9
2324,Brighton,68.0,74.2,72.3,74.8,72.8,77.7
2324,Burnley,68.0,72.4,72.8,71.8,71.8,74.7
2324,Chelsea,69.2,75.6,74.4,74.8,74.4,80.5
