result,matchday,home_form_pts,home_form_gf,home_form_ga,home_form_gd,home_form_wins,home_form_draws,away_form_pts,away_form_gf,away_form_ga,away_form_gd,away_form_wins,away_form_draws,home_home_pts,home_home_gd,away_away_pts,away_away_gd,pts_diff,gd_diff,home_position,away_position,position_diff,home_league_pts,away_league_pts,league_pts_diff,home_league_gd,away_league_gd,elo_home,elo_away,elo_diff,home_shots_avg,home_shots_against_avg,home_sot_avg,home_sot_against_avg,away_shots_avg,away_shots_against_avg,away_sot_avg,away_sot_against_avg,shots_diff,sot_diff,corners_diff
A,20,4,2.0,2.0,0.0,1,1,2,3.0,5.0,-2.0,0,2,0,-1.0,0,-2.0,2,2.0,10,15,5,4,2,2,0.0,-2.0,1503.5995902477025,1486.13853822723,17.461052020472607,12.666666666666666,10.666666666666666,2.3333333333333335,2.0,8.666666666666666,21.333333333333332,3.3333333333333335,6.333333333333333,4.0,-1.0,0
A,20,2,2.0,5.0,-3.0,0,2,2,7.0,10.0,-3.0,0,2,1,0.0,1,0.0,0,0.0,18,17,-1,2,2,0,-3.0,-3.0,1484.6997082459989,1486.13853822723,-1.438829981231038,11.333333333333334,10.0,3.0,4.0,12.666666666666666,12.0,4.0,4.666666666666667,-1.3333333333333321,-1.0,0
H,20,4,4.0,3.0,1.0,1,1,2,3.0,5.0,-2.0,0,2,1,0.0,1,0.0,2,3.0,8,16,8,4,2,2,1.0,-2.0,1501.4387739660467,1484.6656785487578,16.773095417288914,12.666666666666666,8.0,5.333333333333333,3.0,13.666666666666666,11.333333333333334,2.6666666666666665,4.0,-1.0,2.6666666666666665,0
A,20,6,6.0,4.0,2.0,2,0,7,3.0,1.0,2.0,2,1,3,1.0,3,1.0,-1,0.0,6,3,-3,6,7,-1,2.0,2.0,1517.402373648406,1530.5304984710244,-13.128124822618474,13.333333333333334,9.333333333333334,5.333333333333333,3.6666666666666665,9.0,10.666666666666666,2.0,3.0,4.333333333333334,3.333333333333333,0
H,20,9,11.0,4.0,7.0,3,0,9,6.0,1.0,5.0,3,0,3,2.0,3,1.0,0,2.0,1,2,1,9,9,0,7.0,5.0,1545.86146177277,1545.0944834315037,0.766978341266622,16.666666666666668,10.666666666666666,7.0,4.333333333333333,10.0,14.0,5.666666666666667,2.6666666666666665,6.666666666666668,1.333333333333333,0
D,20,5,5.0,4.0,1.0,1,2,6,5.0,2.0,3.0,2,0,3,1.0,3,2.0,-1,-2.0,7,4,-3,5,6,-1,1.0,3.0,1513.86146177277,1513.869911281273,-0.0084495085029629,17.0,7.0,5.0,2.3333333333333335,12.666666666666666,10.0,3.6666666666666665,1.6666666666666667,4.333333333333334,1.3333333333333335,0
D,20,1,5.0,8.0,-3.0,0,1,1,1.0,4.0,-3.0,0,1,0,-2.0,0,-1.0,0,0.0,19,20,1,1,1,0,-3.0,-3.0,1468.8038229802178,1470.1721117407624,-1.3682887605446012,8.333333333333334,16.333333333333332,4.333333333333333,6.0,10.0,9.333333333333334,2.0,3.3333333333333335,-1.666666666666666,2.333333333333333,0
H,20,2,2.0,3.0,-1.0,0,2,3,1.0,5.0,-4.0,1,0,0,-1.0,0,-4.0,-1,3.0,16,15,-1,2,3,-1,-1.0,-4.0,1484.0336965817355,1486.8382212862027,-2.8045247044672124,10.333333333333334,8.333333333333334,3.3333333333333335,3.3333333333333335,15.333333333333334,15.0,4.0,5.0,-5.0,-0.6666666666666665,0
D,20,4,3.0,3.0,0.0,1,1,3,4.0,5.0,-1.0,1,0,1,0.0,3,2.0,1,1.0,12,15,3,4,3,1,0.0,-1.0,1498.5304984710244,1483.2975328274754,15.23296564354905,9.666666666666666,16.333333333333332,3.0,4.333333333333333,13.0,12.333333333333334,4.666666666666667,5.333333333333333,-3.333333333333334,-1.666666666666667,0
A,20,9,8.0,5.0,3.0,3,0,7,8.0,3.0,5.0,2,1,6,4.0,3,1.0,2,-2.0,3,4,1,9,7,2,3.0,5.0,1529.1298040320332,1516.6669439064608,12.462860125572432,10.25,17.75,4.75,4.25,12.0,8.25,5.75,3.25,-1.75,-1.0,0
